decimalLatitude,decimalLongitude,year
34.873031,128.467272,2011.0
35.485044,129.4291,2010.0
36.986389,129.412222,2013.0
-33.9925,122.82339,2003.0
32.1442,130.1129,2009.0
35.66,134.74,2010.0
35.66,134.74,2011.0
35.66,134.74,2012.0
35.66,134.74,2013.0
32.14,130.11,2009.0
35.66,134.74,2014.0
36.93383,137.04071,
34.27305,136.75305,
34.65327,137.16003,
34.331666,135.16027,
36.163045,133.25633,
34.63398,138.89422,
33.84722,134.64527,
33.11117,139.82241,
35.6949,140.85849,
37.45,138.6,
34.65604,134.523205,
33.84861,134.80833,
34.6325,138.89699,
37.34527,137.26138,
37.852295,136.924215,
33.40777,133.42666,
35.04277,139.16972,
33.4938,134.26259,
31.426275,131.2323,
35.12458,140.2785,
36.30309,140.58907,
34.60138,138.23472,
37.81239,138.27362,
34.34296,139.21641,
23.933333,-103.35,2003.0
36.009183,-5.607282,2019.0
36.167778,133.240278,1992.0
7.3567,151.898,1992.0
33.4,132.12,1987.0
34.666009,138.93706,1971.0
33.941667,132.645,1987.0
36.166667,133.233333,1986.0
35.253332,140.087149,1954.0
33.725,131.703333,1988.0
25.150239,121.755096,1970.0
36.170617,133.308771,1992.0
-34.244411,150.97566,1938.0
-33.733333,151.3,1945.0
-38.06,140.663056,1985.0
36.65749,140.69191,2002.0
36.36255,140.60785,1999.0
39.588333,141.966667,1962.0
-43.30334,145.91719,2007.0
-33.53587,115.03322,2003.0
-30.29803,115.02895,2003.0
